Date,Open,High,Low,Close,Volume
2024-02-20 03:00:00,30.7944,31.7299,30.7944,31.4916,55025400
2024-02-21 03:00:00,31.4651,31.624,31.3151,31.3151,28407100
2024-02-22 03:00:00,30.6267,30.6531,30.15,30.15,21460700
2024-02-23 03:00:00,30.1853,30.3442,29.8941,30.2383,22703500
2024-02-26 03:00:00,30.2648,30.3972,30.15,30.3266,13553700
2024-02-27 03:00:00,30.556,30.759,30.3619,30.6973,15712500
2024-02-28 03:00:00,30.6267,30.7944,30.4148,30.7149,13346600
2024-02-29 03:00:00,30.6002,30.6708,29.7793,29.9559,42434400
2024-03-01 03:00:00,30.1147,30.2471,29.9294,30.0706,14523200
2024-03-04 03:00:00,30.0794,30.1853,29.8411,29.8411,15599500
2024-03-05 03:00:00,29.9382,30.0441,29.6558,29.8147,18130700
2024-03-06 03:00:00,29.9735,30.2648,29.797,30.1412,32234300
2024-03-07 03:00:00,30.053,30.3089,29.5675,29.8235,16530500
2024-03-08 03:00:00,29.7264,30.2383,29.6999,30.0971,17325800
2024-03-11 03:00:00,30.0177,30.2471,30.0,30.2471,20181300
2024-03-12 03:00:00,30.4148,30.5472,30.1236,30.3707,21566200
2024-03-13 03:00:00,30.2824,30.8208,30.1853,30.6708,26668100
2024-03-14 03:00:00,30.7149,30.8297,30.4943,30.6531,28582300
2024-03-15 03:00:00,30.7767,30.8032,30.3619,30.4854,37575400
2024-03-18 03:00:00,30.6002,30.8473,30.3442,30.609,12949700
2024-03-19 03:00:00,30.6796,30.759,30.5737,30.6531,10533300
2024-03-20 03:00:00,30.6531,30.8914,30.5031,30.7149,17439700
2024-03-21 03:00:00,30.7149,30.8297,30.2471,30.3972,33569600
2024-03-22 03:00:00,30.0971,30.1853,29.6646,29.7617,11601800
2024-03-25 03:00:00,29.6911,29.7793,29.6117,29.7617,12219500
2024-03-26 03:00:00,29.7264,30.353,29.6381,30.353,17001600
2024-03-27 03:00:00,30.2736,30.609,30.1412,30.5207,17121600
2024-03-28 03:00:00,30.5119,30.7061,30.353,30.5737,16693300
2024-04-01 03:00:00,30.5207,30.7061,29.5057,29.5146,31425600
2024-04-02 03:00:00,29.5234,29.6205,29.2498,29.5499,18086200
2024-04-03 03:00:00,29.5146,29.6381,29.135,29.3292,29810600
2024-04-04 03:00:00,29.4528,29.7352,28.782,28.9409,47764600
2024-04-05 03:00:00,28.9497,29.1174,28.7114,28.8879,24943600
2024-04-08 03:00:00,29.0909,29.594,29.0291,29.3204,17031700
2024-04-09 03:00:00,29.4616,29.6823,29.3733,29.6293,17809900
2024-04-10 03:00:00,29.5234,29.5675,28.8438,29.0026,27586400
2024-04-11 03:00:00,28.8791,29.0644,28.729,28.9497,18259600
2024-04-12 03:00:00,28.8614,28.8879,28.5878,28.6496,22807700
2024-04-15 03:00:00,28.6496,28.7996,28.0583,28.1642,31620200
2024-04-16 03:00:00,27.9876,28.1289,27.6964,27.9523,30781700
2024-04-17 03:00:00,27.97,28.0406,27.6964,27.97,25336400
2024-04-18 03:00:00,28.0229,28.2436,27.6787,28.0053,21697800
2024-04-19 03:00:00,28.0494,28.2171,27.7582,27.8464,26914400
2024-04-22 03:00:00,27.9259,28.0141,27.6081,27.8288,21715600
2024-04-23 03:00:00,27.714,28.5172,27.714,28.2436,46873000
2024-04-24 03:00:00,28.2436,28.323,27.9082,28.12,24172500
2024-04-25 03:00:00,28.0494,28.2436,27.7582,27.9612,20367500
2024-04-26 03:00:00,28.0847,28.5525,27.9965,28.429,27149700
2024-04-29 03:00:00,28.4643,28.5084,27.9876,28.2083,22083300
2024-04-30 03:00:00,28.1642,28.4201,27.6787,27.6787,46905100
2024-05-02 03:00:00,28.173,28.3407,27.8199,28.0671,27936500
2024-05-03 03:00:00,28.4731,28.7643,28.3142,28.4201,28919100
2024-05-06 03:00:00,28.4025,28.835,28.3319,28.5966,18623400
2024-05-07 03:00:00,28.6849,29.338,28.4025,29.188,38484900
2024-05-08 03:00:00,28.9762,29.4528,28.7908,29.3733,24467300
2024-05-09 03:00:00,29.0291,29.0909,28.4731,28.4907,28099900
2024-05-10 03:00:00,28.5349,29.1439,28.5172,28.8173,23338400
2024-05-13 03:00:00,28.9585,29.2851,28.8791,29.1703,23536100
2024-05-14 03:00:00,28.9673,29.6205,28.9585,29.4881,30447800
2024-05-15 03:00:00,29.5763,29.6293,29.2851,29.4087,21065900
2024-05-16 03:00:00,29.541,29.6734,29.2321,29.3204,17894400
2024-05-17 03:00:00,29.2674,29.4528,29.1792,29.3292,18588100
2024-05-20 03:00:00,29.2939,29.4793,29.1262,29.241,15670900
2024-05-21 03:00:00,29.2763,29.3733,28.9762,29.0909,16499800
2024-05-22 03:00:00,28.9409,28.9938,28.526,28.6408,20994500
2024-05-23 03:00:00,28.5966,28.632,28.2877,28.3848,19234200
2024-05-24 03:00:00,28.4378,28.4554,28.0053,28.1112,20649100
2024-05-27 03:00:00,28.1112,28.1289,27.8906,28.0141,12040200
2024-05-28 03:00:00,28.3583,28.3672,27.8023,27.8641,25101900
2024-05-29 03:00:00,27.6787,27.8288,27.3169,27.6699,24844400
2024-05-31 03:00:00,27.6611,27.7229,27.361,27.3875,34258100
2024-06-03 03:00:00,27.5022,27.9347,27.4404,27.7582,22727500
2024-06-04 03:00:00,27.6611,27.9523,27.511,27.8553,22209800
2024-06-05 03:00:00,27.7582,27.9259,27.6523,27.8023,22320200
2024-06-06 03:00:00,27.8111,28.2436,27.767,28.1553,12893200
2024-06-07 03:00:00,27.8729,28.0671,27.6523,27.7582,23228300
2024-06-10 03:00:00,27.7935,27.8906,27.2816,27.5375,20354000
2024-06-11 03:00:00,27.6964,27.97,27.5728,27.8464,14833200
2024-06-12 03:00:00,27.9523,28.0141,27.4934,27.8023,34735800
2024-06-13 03:00:00,27.8023,27.9523,27.511,27.511,20383900
2024-06-14 03:00:00,27.4757,27.6876,27.308,27.4846,15416800
2024-06-17 03:00:00,27.7229,28.2436,27.6169,28.1553,26902400
2024-06-18 03:00:00,28.1024,28.4466,27.9965,28.1377,21702300
2024-06-19 03:00:00,28.0141,28.4996,27.8906,28.3583,14561100
2024-06-20 03:00:00,28.579,28.6496,28.12,28.1642,20425100
2024-06-21 03:00:00,28.1377,28.4025,27.9259,28.1377,51730900
2024-06-24 03:00:00,28.2348,29.0026,28.2259,28.5437,32487800
2024-06-25 03:00:00,28.5349,28.8438,28.4554,28.632,23973600
2024-06-26 03:00:00,28.4466,28.579,28.0759,28.579,23633300
